active_addresses,day
465496,2024-05-25 00:00:00.000 UTC
403847,2024-05-26 00:00:00.000 UTC
430423,2024-05-27 00:00:00.000 UTC
448180,2024-05-28 00:00:00.000 UTC
449069,2024-05-29 00:00:00.000 UTC
499633,2024-05-30 00:00:00.000 UTC
528689,2024-05-31 00:00:00.000 UTC
449638,2024-06-01 00:00:00.000 UTC
393003,2024-06-02 00:00:00.000 UTC
482688,2024-06-03 00:00:00.000 UTC
492873,2024-06-04 00:00:00.000 UTC
460472,2024-06-05 00:00:00.000 UTC
476120,2024-06-06 00:00:00.000 UTC
468300,2024-06-07 00:00:00.000 UTC
599174,2024-06-08 00:00:00.000 UTC
479356,2024-06-09 00:00:00.000 UTC
473052,2024-06-10 00:00:00.000 UTC
485988,2024-06-11 00:00:00.000 UTC
483312,2024-06-12 00:00:00.000 UTC
469601,2024-06-13 00:00:00.000 UTC
475826,2024-06-14 00:00:00.000 UTC
426023,2024-06-15 00:00:00.000 UTC
410933,2024-06-16 00:00:00.000 UTC
433550,2024-06-17 00:00:00.000 UTC
484882,2024-06-18 00:00:00.000 UTC
459861,2024-06-19 00:00:00.000 UTC
465204,2024-06-20 00:00:00.000 UTC
514657,2024-06-21 00:00:00.000 UTC
456726,2024-06-22 00:00:00.000 UTC
358419,2024-06-23 00:00:00.000 UTC
456564,2024-06-24 00:00:00.000 UTC
441213,2024-06-25 00:00:00.000 UTC
476276,2024-06-26 00:00:00.000 UTC
501017,2024-06-27 00:00:00.000 UTC
562498,2024-06-28 00:00:00.000 UTC
502871,2024-06-29 00:00:00.000 UTC
465980,2024-06-30 00:00:00.000 UTC
650450,2024-07-01 00:00:00.000 UTC
511491,2024-07-02 00:00:00.000 UTC
503995,2024-07-03 00:00:00.000 UTC
487581,2024-07-04 00:00:00.000 UTC
510688,2024-07-05 00:00:00.000 UTC
461754,2024-07-06 00:00:00.000 UTC
417262,2024-07-07 00:00:00.000 UTC
534831,2024-07-08 00:00:00.000 UTC
499298,2024-07-09 00:00:00.000 UTC
460603,2024-07-10 00:00:00.000 UTC
487441,2024-07-11 00:00:00.000 UTC
486026,2024-07-12 00:00:00.000 UTC
418213,2024-07-13 00:00:00.000 UTC
440648,2024-07-14 00:00:00.000 UTC
482488,2024-07-15 00:00:00.000 UTC
492842,2024-07-16 00:00:00.000 UTC
476280,2024-07-17 00:00:00.000 UTC
481359,2024-07-18 00:00:00.000 UTC
510413,2024-07-19 00:00:00.000 UTC
444988,2024-07-20 00:00:00.000 UTC
412252,2024-07-21 00:00:00.000 UTC
504553,2024-07-22 00:00:00.000 UTC
480640,2024-07-23 00:00:00.000 UTC
484766,2024-07-24 00:00:00.000 UTC
529052,2024-07-25 00:00:00.000 UTC
529293,2024-07-26 00:00:00.000 UTC
508958,2024-07-27 00:00:00.000 UTC
431943,2024-07-28 00:00:00.000 UTC
543528,2024-07-29 00:00:00.000 UTC
500915,2024-07-30 00:00:00.000 UTC
542140,2024-07-31 00:00:00.000 UTC
550191,2024-08-01 00:00:00.000 UTC
531290,2024-08-02 00:00:00.000 UTC
490025,2024-08-03 00:00:00.000 UTC
451024,2024-08-04 00:00:00.000 UTC
572483,2024-08-05 00:00:00.000 UTC
502084,2024-08-06 00:00:00.000 UTC
483578,2024-08-07 00:00:00.000 UTC
541523,2024-08-08 00:00:00.000 UTC
505593,2024-08-09 00:00:00.000 UTC
449193,2024-08-10 00:00:00.000 UTC
407546,2024-08-11 00:00:00.000 UTC
459443,2024-08-12 00:00:00.000 UTC
499255,2024-08-13 00:00:00.000 UTC
514602,2024-08-14 00:00:00.000 UTC
517109,2024-08-15 00:00:00.000 UTC
541656,2024-08-16 00:00:00.000 UTC
468047,2024-08-17 00:00:00.000 UTC
431176,2024-08-18 00:00:00.000 UTC
479793,2024-08-19 00:00:00.000 UTC
522794,2024-08-20 00:00:00.000 UTC
528522,2024-08-21 00:00:00.000 UTC
529069,2024-08-22 00:00:00.000 UTC
531333,2024-08-23 00:00:00.000 UTC
465476,2024-08-24 00:00:00.000 UTC
410925,2024-08-25 00:00:00.000 UTC
467688,2024-08-26 00:00:00.000 UTC
500315,2024-08-27 00:00:00.000 UTC
507534,2024-08-28 00:00:00.000 UTC
537263,2024-08-29 00:00:00.000 UTC
572224,2024-08-30 00:00:00.000 UTC
500460,2024-08-31 00:00:00.000 UTC
474745,2024-09-01 00:00:00.000 UTC
497760,2024-09-02 00:00:00.000 UTC
532189,2024-09-03 00:00:00.000 UTC
517980,2024-09-04 00:00:00.000 UTC
539153,2024-09-05 00:00:00.000 UTC
541498,2024-09-06 00:00:00.000 UTC
467693,2024-09-07 00:00:00.000 UTC
443982,2024-09-08 00:00:00.000 UTC
484356,2024-09-09 00:00:00.000 UTC
496235,2024-09-10 00:00:00.000 UTC
485717,2024-09-11 00:00:00.000 UTC
543578,2024-09-12 00:00:00.000 UTC
541520,2024-09-13 00:00:00.000 UTC
497080,2024-09-14 00:00:00.000 UTC
450093,2024-09-15 00:00:00.000 UTC
508715,2024-09-16 00:00:00.000 UTC
512791,2024-09-17 00:00:00.000 UTC
503605,2024-09-18 00:00:00.000 UTC
534706,2024-09-19 00:00:00.000 UTC
555434,2024-09-20 00:00:00.000 UTC
487324,2024-09-21 00:00:00.000 UTC
439609,2024-09-22 00:00:00.000 UTC
518527,2024-09-23 00:00:00.000 UTC
517078,2024-09-24 00:00:00.000 UTC
513255,2024-09-25 00:00:00.000 UTC
515964,2024-09-26 00:00:00.000 UTC
549044,2024-09-27 00:00:00.000 UTC
477265,2024-09-28 00:00:00.000 UTC
462110,2024-09-29 00:00:00.000 UTC
513554,2024-09-30 00:00:00.000 UTC
626336,2024-10-01 00:00:00.000 UTC
504060,2024-10-02 00:00:00.000 UTC
522347,2024-10-03 00:00:00.000 UTC
553981,2024-10-04 00:00:00.000 UTC
462400,2024-10-05 00:00:00.000 UTC
435531,2024-10-06 00:00:00.000 UTC
495629,2024-10-07 00:00:00.000 UTC
556193,2024-10-08 00:00:00.000 UTC
479174,2024-10-09 00:00:00.000 UTC
495076,2024-10-10 00:00:00.000 UTC
474118,2024-10-11 00:00:00.000 UTC
440476,2024-10-12 00:00:00.000 UTC
417441,2024-10-13 00:00:00.000 UTC
477678,2024-10-14 00:00:00.000 UTC
510963,2024-10-15 00:00:00.000 UTC
465014,2024-10-16 00:00:00.000 UTC
529900,2024-10-17 00:00:00.000 UTC
519055,2024-10-18 00:00:00.000 UTC
480561,2024-10-19 00:00:00.000 UTC
